Box SKU,QTY,WH,Dog Size List,Heavy Chewer,Allergies,Extra Toy,Extra Treat,Item SKUs,Theme,Info Card Name,,[400 SKU],[Percent of Plan],[Year],[Month],[Cohort],[Species],[Add Ons],[Product List],[P],[A],[W],[S],[Total PAWS],[Paper SKU],[Cardboard SKU],[Info Card 1],[Info Card 2],[XT Insert],[XTR Insert],,[All COG],[Base COG],[Freight COG],[Extra Toy COG],[Extra Treat COG],[Base Kit Cost],[XT Unit Cost],[Full Kit Cost],[Potential Add QTY],[QTY To Build],[QTY Overbuilt],[Total Built],[Back Ordered],[Available],[Shipped]
601318TN,15,NV,"S,XS",YES,YES,NO,YES,"204772,204775,204780,204768,203129,204752,IN-COL0716,XTR-204752,",Olympics,Olympics,,201JUL-117T,6.31E-05,2016,JULY,CONTINUITY,SHA0T,T,"204772,204775,204780,204768,203129,204752,",4,4,4,4,16,500021-16R,500007,IN-COL0716,,,XTR-204752,,168.57,146.1,10.5,0,11.97,9.74,,10.538,4,15,0,None Found,None Found,None Found,None Found
601318N,650,NV,"S,XS",YES,YES,NO,NO,"204772,204775,204780,204768,203129,IN-COL0716,",Olympics,Olympics,,201JUL-117,0.002732907,2016,JULY,CONTINUITY,SHA00,None,"204772,204775,204780,204768,203129,",4,4,4,4,16,500021-16R,500023,IN-COL0716,,,,,6753.5,6331,422.5,0,0,9.74,,9.74,121,650,0,None Found,None Found,None Found,None Found
601317XTC,30,CT,"S,XS",YES,YES,YES,YES,"204772,204775,204780,204768,203129,204773,204752,IN-COL0716,XT-204773,XTR-204752,",Olympics,Olympics,,201JUL-108XT,0.000126134,2016,JULY,CONTINUITY,SHAXT,XT,"204772,204775,204780,204768,203129,204773,204752,",4,4,4,4,16,500021-16,500007,IN-COL0716,,XT-204773,XTR-204752,,410.04,292.2,28.5,65.4,23.94,9.74,2.18,12.718,-1380,30,0,None Found,None Found,None Found,None Found
601317XC,280,CT,"S,XS",YES,YES,YES,NO,"204772,204775,204780,204768,203129,204773,IN-COL0716,XT-204773,",Olympics,Olympics,,201JUL-108X,0.001177252,2016,JULY,CONTINUITY,SHAX0,X,"204772,204775,204780,204768,203129,204773,",4,4,4,4,16,500021-16,500023,IN-COL0716,,XT-204773,,,3589.6,2727.2,252,610.4,0,9.74,2.18,11.92,406,280,0,None Found,None Found,None Found,None Found
601317TC,30,CT,"S,XS",YES,YES,NO,YES,"204772,204775,204780,204768,203129,204752,IN-COL0716,XTR-204752,",Olympics,Olympics,,201JUL-108T,0.000126134,2016,JULY,CONTINUITY,SHA0T,T,"204772,204775,204780,204768,203129,204752,",4,4,4,4,16,500021-16,500007,IN-COL0716,,,XTR-204752,,337.14,292.2,21,0,23.94,9.74,,10.538,-1380,30,0,None Found,None Found,None Found,None Found
601317C,970,CT,"S,XS",YES,YES,NO,NO,"204772,204775,204780,204768,203129,IN-COL0716,",Olympics,Olympics,,201JUL-108,0.004078338,2016,JULY,CONTINUITY,SHA00,None,"204772,204775,204780,204768,203129,",4,4,4,4,16,500021-16,500023,IN-COL0716,,,,,10078.3,9447.8,630.5,0,0,9.74,,9.74,406,970,0,None Found,None Found,None Found,None Found
601316N,200,NV,"S,XS",NO,YES,NO,NO,"204761,204770,204780,204768,203129,IN-COL0716,",Olympics,Olympics,,201JUL-99,0.000840894,2016,JULY,CONTINUITY,S0A00,None,"204761,204770,204780,204768,203129,",4,4,4,3,15,500021-16R,500001,IN-COL0716,,,,,1806,1676,130,0,0,8.38,,8.38,121,200,0,None Found,None Found,None Found,None Found
601315C,180,CT,"S,XS",NO,YES,NO,NO,"204761,204770,204780,204768,203129,IN-COL0716,",Olympics,Olympics,,201JUL-90,0.000756805,2016,JULY,CONTINUITY,S0A00,None,"204761,204770,204780,204768,203129,",4,4,4,3,15,500021-16,500001,IN-COL0716,,,,,1625.4,1508.4,117,0,0,8.38,,8.38,406,180,0,None Found,None Found,None Found,None Found
601314N,680,NV,"S,XS",YES,NO,NO,NO,"204772,204775,204753,204768,203129,IN-COL0716,",Olympics,Olympics,,201JUL-81,0.002859041,2016,JULY,CONTINUITY,SH000,None,"204772,204775,204753,204768,203129,",4,4,4,4,16,500021-16R,500023,IN-COL0716,,,,,6326.72,5884.72,442,0,0,8.654,,8.654,70,680,0,None Found,None Found,None Found,None Found
601313XC,510,CT,"S,XS",YES,NO,YES,NO,"204772,204775,204753,204752,203129,204761,IN-COL0716,XT-204761,",Olympics,Olympics,,201JUL-72X,0.002144281,2016,JULY,CONTINUITY,SH0X0,X,"204772,204775,204753-1711,204752,203129,204761,",4,4,4,3,15,500021-16,500023,IN-COL0716,,XT-204761,,,5050.02,3902.52,459,688.5,0,7.652,1.35,9.002,-1380,510,0,None Found,None Found,None Found,None Found
