Box SKU,QTY,WH,Dog Size List,Heavy Chewer,Allergies,Extra Toy,Extra Treat,Item SKUs,Theme,Info Card Name,,[400 SKU],[Percent of Plan],[Year],[Month],[Cohort],[Species],[Add Ons],[Product List],[P],[A],[W],[S],[Total PAWS],[Paper SKU],[Cardboard SKU],[Info Card 1],[Info Card 2],[XT Insert],[XTR Insert],,[All COG],[Base COG],[Freight COG],[Extra Toy COG],[Extra Treat COG],[Base Kit Cost],[XT Unit Cost],[Full Kit Cost],[Potential Add QTY],[QTY To Build],[QTY Overbuilt],[Total Built],[Back Ordered],[Available],[Shipped]
601322N,"1,800",NV,"M,",YES,NO,NO,NO,#N/A,Olympics,#N/A,,201JUL-153,0.76%,2016,JULY,CONTINUITY,MH000,None,"204756,204773,204754,204757,203129,",Missing,Missing,Missing,Missing,0,#N/A,500001,#N/A,#N/A,,,,18050.4,"$16,880.40 ","$1,170.00 ",$0.00 ,$0.00 ,$9.38 ,,$9.38 ,43,"1,800",0,None Found,None Found,None Found,None Found
601321XC,890,CT,"M,",YES,NO,YES,NO,#N/A,Olympics,#N/A,,201JUL-144X,0.37%,2016,JULY,CONTINUITY,MH0X0,X,"204756,204773,204754-1711,204757,203129,204772,",Missing,Missing,Missing,Missing,0,#N/A,500001,#N/A,#N/A,XT-204772,,,11541.52,"$8,346.42 ",$801.00 ,"$2,394.10 ",$0.00 ,$9.38 ,$2.69 ,$12.07 ,2404,890,0,None Found,None Found,None Found,None Found
601321C,"2,800",CT,"M,",YES,NO,NO,NO,#N/A,Olympics,#N/A,,201JUL-144,1.18%,2016,JULY,CONTINUITY,MH000,None,"204756,204773,204754-1711,204757,203129,",Missing,Missing,Missing,Missing,0,#N/A,500001,#N/A,#N/A,,,,28078.4,"$26,258.40 ","$1,820.00 ",$0.00 ,$0.00 ,$9.38 ,,$9.38 ,2404,"2,800",0,None Found,None Found,None Found,None Found
601320XN,"5,880",NV,"M,",NO,NO,YES,NO,#N/A,Olympics,#N/A,,201JUL-135X,2.47%,2016,JULY,CONTINUITY,M00X0,X,"204760,204756,204754,204757,203129,204772,",Missing,Missing,Missing,Missing,0,#N/A,500001,#N/A,#N/A,XT-204772,,,76663.44,"$55,554.24 ","$5,292.00 ","$15,817.20 ",$0.00 ,$9.45 ,$2.69 ,$12.14 ,-35654,"5,880",0,None Found,None Found,None Found,None Found
601320N,"18,830",NV,"M,",NO,NO,NO,NO,#N/A,Olympics,#N/A,,201JUL-135,7.92%,2016,JULY,CONTINUITY,M0000,None,"204760,204756,204754,204757,203129,",Missing,Missing,Missing,Missing,0,#N/A,500001,#N/A,#N/A,,,,190145.34,"$177,905.84 ","$12,239.50 ",$0.00 ,$0.00 ,$9.45 ,,$9.45 ,-35654,"18,830",0,None Found,None Found,None Found,None Found
601319XC,"5,500",CT,"M,",NO,NO,YES,NO,#N/A,Olympics,#N/A,,201JUL-126X,2.31%,2016,JULY,CONTINUITY,M00X0,X,"204760,204756,204754-1711,204757,203129,204772,",Missing,Missing,Missing,Missing,0,#N/A,500001,#N/A,#N/A,XT-204772,,,71709,"$51,964.00 ","$4,950.00 ","$14,795.00 ",$0.00 ,$9.45 ,$2.69 ,$12.14 ,2404,"5,500",0,None Found,None Found,None Found,None Found
601319C,"29,420",CT,"M,",NO,NO,NO,NO,#N/A,Olympics,#N/A,,201JUL-126,12.37%,2016,JULY,CONTINUITY,M0000,None,"204760,204756,204754-1711,204757,203129,",Missing,Missing,Missing,Missing,0,#N/A,500001,#N/A,#N/A,,,,297083.16,"$277,960.16 ","$19,123.00 ",$0.00 ,$0.00 ,$9.45 ,,$9.45 ,2404,"29,420",0,None Found,None Found,None Found,None Found
601318XTN,25,NV,"S,XS",YES,YES,YES,YES,#N/A,Olympics,#N/A,,201JUL-117XT,0.01%,2016,JULY,CONTINUITY,SHAXT,XT,"204772,204775,204780,204768,203129,204773,204752,",Missing,Missing,Missing,Missing,0,#N/A,500007,#N/A,#N/A,XT-204773,XTR-204752,,341.7,$243.50 ,$23.75 ,$54.50 ,$19.95 ,$9.74 ,$2.18 ,$12.72 ,4,25,0,None Found,None Found,None Found,None Found
601318XN,450,NV,"S,XS",YES,YES,YES,NO,#N/A,Olympics,#N/A,,201JUL-117X,0.19%,2016,JULY,CONTINUITY,SHAX0,X,"204772,204775,204780,204768,203129,204773,",Missing,Missing,Missing,Missing,0,#N/A,500023,#N/A,#N/A,XT-204773,,,5769,"$4,383.00 ",$405.00 ,$981.00 ,$0.00 ,$9.74 ,$2.18 ,$11.92 ,43,450,0,None Found,None Found,None Found,None Found
601318TN,15,NV,"S,XS",YES,YES,NO,YES,#N/A,Olympics,#N/A,,201JUL-117T,0.01%,2016,JULY,CONTINUITY,SHA0T,T,"204772,204775,204780,204768,203129,204752,",Missing,Missing,Missing,Missing,0,#N/A,500007,#N/A,#N/A,,XTR-204752,,168.57,$146.10 ,$10.50 ,$0.00 ,$11.97 ,$9.74 ,,$10.54 ,4,15,0,None Found,None Found,None Found,None Found
